               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054383,            0.067438,            0.023439,             0.61639,              0.4965,             0.56913,             0.29933,            0.050602,            0.041248,            0.014915,              0.0007,              0.0007,              0.0937
                   1,            0.050504,            0.074577,             0.02161,             0.71019,             0.50689,             0.62132,             0.35922,            0.047266,            0.039994,            0.013348,           0.0014865,           0.0014865,            0.086487
                   2,            0.050157,            0.067558,            0.019674,             0.57325,              0.6306,             0.64897,             0.38095,            0.046397,            0.038923,             0.01241,           0.0022586,           0.0022586,            0.079259
                   3,            0.049521,            0.067119,            0.019546,             0.63489,             0.65705,             0.69247,             0.41448,            0.044615,            0.037553,            0.010843,           0.0030163,           0.0030163,            0.072016
                   4,            0.048748,            0.061396,            0.017635,             0.66119,             0.66207,             0.70266,             0.41893,            0.046819,            0.035781,           0.0097893,           0.0037596,           0.0037596,             0.06476
                   5,            0.048498,            0.056683,            0.017171,             0.66146,             0.64124,             0.70147,             0.42081,            0.046316,            0.034743,           0.0089829,           0.0044885,           0.0044885,            0.057489
                   6,            0.051432,            0.053169,            0.014899,              0.5266,             0.65051,             0.61482,             0.28495,            0.058306,            0.033867,           0.0083968,            0.005203,            0.005203,            0.050203
                   7,            0.059796,              0.0626,            0.014635,             0.61062,             0.65935,             0.67828,             0.34328,            0.053172,            0.033348,            0.008294,           0.0059031,           0.0059031,            0.042903
                   8,            0.051747,             0.06218,            0.014354,             0.72097,              0.6798,             0.73143,             0.42655,            0.047505,            0.033279,           0.0085042,           0.0065888,           0.0065888,            0.035589
                   9,            0.050415,            0.057744,            0.014005,             0.67037,             0.70154,             0.73568,              0.4472,            0.047802,            0.032799,           0.0088928,           0.0072601,           0.0072601,             0.02826
                  10,            0.051428,            0.060104,             0.01432,             0.66157,             0.64449,             0.70699,             0.40565,            0.055692,            0.031627,           0.0083504,            0.007917,            0.007917,            0.020917
                  11,            0.059693,            0.049554,            0.013733,             0.63921,             0.65002,             0.68907,             0.37523,            0.052483,            0.036039,            0.010813,           0.0085595,           0.0085595,             0.01356
                  12,            0.051734,            0.053261,            0.013417,             0.68117,             0.71746,             0.75033,             0.42458,            0.049311,            0.032295,           0.0094319,             0.00892,             0.00892,             0.00892
                  13,             0.05217,            0.057057,            0.014083,              0.7249,             0.68038,             0.75449,             0.40826,            0.050488,            0.032474,           0.0092978,             0.00892,             0.00892,             0.00892
                  14,            0.053314,            0.052703,             0.01466,             0.70078,             0.70482,             0.74399,             0.41711,            0.053501,            0.033209,           0.0092489,             0.00883,             0.00883,             0.00883
                  15,            0.056825,            0.049985,            0.013813,             0.66262,             0.71374,             0.72594,             0.39049,            0.054375,            0.031277,            0.008479,             0.00874,             0.00874,             0.00874
                  16,            0.056032,            0.054127,            0.013152,             0.74158,             0.74776,             0.79865,             0.47743,            0.046423,            0.031118,           0.0084348,             0.00865,             0.00865,             0.00865
                  17,            0.052748,            0.052155,            0.013856,              0.7234,             0.78198,             0.81009,             0.44264,            0.050091,            0.030617,           0.0081089,             0.00856,             0.00856,             0.00856
                  18,            0.050396,            0.050573,            0.012752,             0.68746,             0.77426,             0.79635,             0.48244,            0.043729,            0.031431,           0.0086756,             0.00847,             0.00847,             0.00847
                  19,            0.047584,            0.049592,            0.012896,             0.68837,             0.61553,             0.72021,             0.42139,            0.050095,            0.033134,           0.0092173,             0.00838,             0.00838,             0.00838
                  20,            0.051638,            0.048598,            0.011641,             0.70329,             0.79767,             0.82547,             0.47906,            0.045267,            0.029952,           0.0074528,             0.00829,             0.00829,             0.00829
                  21,            0.047402,            0.047785,            0.011614,             0.70374,             0.81478,             0.83197,             0.48581,            0.045368,            0.029704,           0.0072536,              0.0082,              0.0082,              0.0082
                  22,            0.051655,            0.049542,             0.01114,             0.69145,             0.81753,             0.81406,             0.45707,            0.048784,            0.029264,           0.0073888,             0.00811,             0.00811,             0.00811
                  23,            0.050886,            0.049918,             0.01208,             0.72122,             0.81963,             0.82293,             0.49377,            0.045243,            0.028768,           0.0070935,             0.00802,             0.00802,             0.00802
                  24,            0.048929,            0.046596,            0.011679,             0.79969,             0.78094,             0.83265,              0.5116,             0.04489,            0.028703,           0.0069697,             0.00793,             0.00793,             0.00793
                  25,            0.048961,             0.04278,            0.011796,             0.77592,             0.75819,             0.83565,             0.48625,            0.047026,            0.028798,            0.006929,             0.00784,             0.00784,             0.00784
                  26,            0.049445,            0.045191,            0.010787,             0.77319,             0.78464,             0.84722,             0.51023,             0.04336,            0.028515,           0.0070024,             0.00775,             0.00775,             0.00775
                  27,            0.046985,            0.052036,             0.01149,             0.80946,             0.80343,             0.87463,             0.56062,             0.04068,            0.027733,           0.0067743,             0.00766,             0.00766,             0.00766
                  28,             0.04422,            0.047996,            0.010502,               0.814,             0.79801,             0.86873,             0.54648,            0.041737,            0.027182,             0.00647,             0.00757,             0.00757,             0.00757
                  29,            0.046389,            0.045706,            0.010716,             0.81196,             0.77637,             0.84741,             0.51127,            0.045694,             0.02748,           0.0064499,             0.00748,             0.00748,             0.00748
